,동아리명
98,KUDT
52,관현악단
141,뉴런
4,원불교학생회
73,한국화회
104,TTP
12,IVF
99,KUDT
100,KUDT
105,젊은예수
151,TERRA
132,CCC
129,고집
111,팝콘
80,KUCC
24,관악부
56,관현악단
59,호영회
131,CCC
69,KUBC
135,KUSEP
68,KUBC
43,고전기타부
72,고대농악대
97,KUDT
91,불교학생회
127,고란도란
133,CCC
46,UNSA
79,KUCC
117,운화회
83,뇌의주름
16,관악부
39,고전기타부
29,국악연구회
134,호우회
77,KUCC
61,호영회
48,관현악단
37,고전기타부
107,SFC
146,ALC
60,호영회
47,관현악단
26,관악부
150,TERRA
86,뇌의주름
38,고전기타부
154,한량회
87,뇌의주름
95,KUDT
3,원불교학생회
20,관악부
32,한국사회연구회
147,호진회
18,관악부
92,KUDT
103,TTP
31,한국사회연구회
108,LECA
152,그림마당
75,KUCC
143,ALC
84,뇌의주름
130,노래얼
139,KULAX
9,IVF
51,관현악단
138,KULAX
27,국악연구회
142,ALC
50,관현악단
89,뇌의주름
17,관악부
78,KUCC
144,ALC
125,소믈리에
11,IVF
53,관현악단
76,KUCC
119,운화회
40,고전기타부
15,크림슨
90,합창단
82,뇌의주름
155,미스디렉션
19,관악부
106,예수전도단
153,ECS
36,고전기타부
10,IVF
114,운화회
25,관악부
118,운화회
149,사람과사람
41,고전기타부
145,ALC
156,탁구사랑회
71,스쿼시동아리
137,ATP
5,원불교학생회
120,운화회
148,사람과사람
123,소믈리에
54,관현악단
49,관현악단
63,호영회
124,소믈리에
110,팝콘
1,그루터기
7,IVF
101,캘리쿠
33,한국사회연구회
70,KUBC
102,TTP
140,KULAX
93,KUDT
21,관악부
62,호영회
44,고전기타부
94,KUDT
109,LECA
128,거의격월간몰라도되는데
57,관현악단
85,뇌의주름
116,운화회
